"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Arkansas","05","2019","2019",571,3017804,18.9,19.0
,"Arkansas","05","2020","2020",667,3030522,22.0,22.3
"Total","Arkansas","05",,,10445,63181817,16.5,16.5
,"California","06","1999","1999",2990,33499204,8.9,9.1
,"California","06","2000","2000",3046,33871648,9.0,9.1
,"California","06","2001","2001",3142,34479458,9.1,9.2
,"California","06","2002","2002",3360,34871843,9.6,9.7
,"California","06","2003","2003",3388,35253159,9.6,9.6
,"California","06","2004","2004",3240,35574576,9.1,9.1
,"California","06","2005","2005",3368,35827943,9.4,9.3
,"California","06","2006","2006",3276,36021202,9.1,8.9
,"California","06","2007","2007",3188,36250311,8.8,8.6
,"California","06","2008","2008",3101,36604337,8.5,8.3
,"California","06","2009","2009",3027,36961229,8.2,8.0
,"California","06","2010","2010",2871,37253956,7.7,7.5
,"California","06","2011","2011",2921,37691912,7.7,7.6
,"California","06","2012","2012",2956,38041430,7.8,7.6
,"California","06","2013","2013",2929,38332521,7.6,7.5
,"California","06","2014","2014",2853,38802500,7.4,7.2
,"California","06","2015","2015",2992,39144818,7.6,7.4
,"California","06","2016","2016",3110,39250017,7.9,7.7
,"California","06","2017","2017",3098,39536653,7.8,7.7
,"California","06","2018","2018",2959,39557045,7.5,7.3
,"California","06","2019","2019",2869,39512223,7.3,7.0
,"California","06","2020","2020",3349,39368078,8.5,8.3
"Total","California","06",,,68033,815706063,8.3,8.2
,"Colorado","08","1999","1999",446,4226018,10.6,10.7
,"Colorado","08","2000","2000",440,4301261,10.2,10.2
,"Colorado","08","2001","2001",503,4425687,11.4,11.6
,"Colorado","08","2002","2002",508,4490406,11.3,11.3
,"Colorado","08","2003","2003",491,4528732,10.8,11.0
,"Colorado","08","2004","2004",542,4575013,11.8,11.8
,"Colorado","08","2005","2005",525,4631888,11.3,11.4
,"Colorado","08","2006","2006",489,4720423,10.4,10.2
,"Colorado","08","2007","2007",499,4803868,10.4,10.3
,"Colorado","08","2008","2008",508,4889730,10.4,10.3
,"Colorado","08","2009","2009",575,4972195,11.6,11.5
,"Colorado","08","2010","2010",538,5029196,10.7,10.5
,"Colorado","08","2011","2011",561,5116796,11.0,10.7
,"Colorado","08","2012","2012",666,5187582,12.8,12.5
,"Colorado","08","2013","2013",611,5268367,11.6,11.4
,"Colorado","08","2014","2014",653,5355866,12.2,12.0
,"Colorado","08","2015","2015",689,5456574,12.6,12.3
,"Colorado","08","2016","2016",793,5540545,14.3,14.0
,"Colorado","08","2017","2017",760,5607154,13.6,13.0
,"Colorado","08","2018","2018",864,5695564,15.2,14.7
,"Colorado","08","2019","2019",825,5758736,14.3,13.8
,"Colorado","08","2020","2020",900,5807719,15.5,15.0
"Total","Colorado","08",,,13386,110389320,12.1,11.9
,"Connecticut","09","1999","1999",197,3386401,5.8,5.9
,"Connecticut","09","2000","2000",179,3405565,5.3,5.3
,"Connecticut","09","2001","2001",191,3432835,5.6,5.6
,"Connecticut","09","2002","2002",146,3458749,4.2,4.3
,"Connecticut","09","2003","2003",153,3484336,4.4,4.4
,"Connecticut","09","2004","2004",172,3496094,4.9,4.9
,"Connecticut","09","2005","2005",187,3506956,5.3,5.3
,"Connecticut","09","2006","2006",173,3517460,4.9,5.0
,"Connecticut","09","2007","2007",149,3527270,4.2,4.1
,"Connecticut","09","2008","2008",199,3545579,5.6,5.5
,"Connecticut","09","2009","2009",173,3561807,4.9,4.9
,"Connecticut","09","2010","2010",209,3574097,5.8,5.9
,"Connecticut","09","2011","2011",210,3580709,5.9,5.8
,"Connecticut","09","2012","2012",227,3590347,6.3,6.4
,"Connecticut","09","2013","2013",158,3596080,4.4,4.3
,"Connecticut","09","2014","2014",187,3596677,5.2,5.0
,"Connecticut","09","2015","2015",186,3590886,5.2,5.2
,"Connecticut","09","2016","2016",169,3576452,4.7,4.5
,"Connecticut","09","2017","2017",184,3588184,5.1,5.0
,"Connecticut","09","2018","2018",184,3572665,5.2,4.8
,"Connecticut","09","2019","2019",186,3565287,5.2,5.1
,"Connecticut","09","2020","2020",214,3557006,6.0,5.9
"Total","Connecticut","09",,,4033,77711442,5.2,5.1
,"Delaware","10","1999","1999",64,774990,8.3,8.2
,"Delaware","10","2000","2000",51,783600,6.5,6.5
,"Delaware","10","2001","2001",75,795699,9.4,9.4
,"Delaware","10","2002","2002",73,806169,9.1,9.0
,"Delaware","10","2003","2003",64,818003,7.8,7.8
,"Delaware","10","2004","2004",74,830803,8.9,8.7
,"Delaware","10","2005","2005",75,845150,8.9,8.8
,"Delaware","10","2006","2006",76,859268,8.8,8.8
,"Delaware","10","2007","2007",78,871749,8.9,8.7
,"Delaware","10","2008","2008",95,883874,10.7,10.7
,"Delaware","10","2009","2009",74,891730,8.3,8.5
,"Delaware","10","2010","2010",88,897934,9.8,9.9
,"Delaware","10","2011","2011",77,907135,8.5,8.2
,"Delaware","10","2012","2012",92,917092,10.0,10.0
,"Delaware","10","2013","2013",99,925749,10.7,10.3
,"Delaware","10","2014","2014",98,935614,10.5,10.6
,"Delaware","10","2015","2015",110,945934,11.6,11.9
,"Delaware","10","2016","2016",111,952065,11.7,11.0
,"Delaware","10","2017","2017",108,961939,11.2,11.3
,"Delaware","10","2018","2018",107,967171,11.1,11.6
,"Delaware","10","2019","2019",91,973764,9.3,9.7
,"Delaware","10","2020","2020",134,986809,13.6,14.3
"Total","Delaware","10",,,1914,19532241,9.8,9.8
,"District of Columbia","11","1999","1999",159,570213,27.9,24.9
,"District of Columbia","11","2000","2000",148,572059,25.9,22.6
,"District of Columbia","11","2001","2001",166,574504,28.9,25.5
,"District of Columbia","11","2002","2002",195,573158,34.0,30.3
,"District of Columbia","11","2003","2003",167,568502,29.4,26.0
,"District of Columbia","11","2004","2004",143,567754,25.2,22.4
,"District of Columbia","11","2005","2005",153,567136,27.0,23.6
,"District of Columbia","11","2006","2006",133,570681,23.3,20.2
,"District of Columbia","11","2007","2007",141,574404,24.5,21.1
,"District of Columbia","11","2008","2008",134,580236,23.1,19.7
,"District of Columbia","11","2009","2009",109,592228,18.4,15.6
,"District of Columbia","11","2010","2010",99,601723,16.5,14.2
,"District of Columbia","11","2011","2011",84,617996,13.6,11.6
,"District of Columbia","11","2012","2012",65,632323,10.3,9.0
,"District of Columbia","11","2013","2013",67,646449,10.4,8.5
,"District of Columbia","11","2014","2014",81,658893,12.3,11.1
,"District of Columbia","11","2015","2015",116,672228,17.3,14.6
,"District of Columbia","11","2016","2016",103,681170,15.1,13.4
,"District of Columbia","11","2017","2017",99,693972,14.3,12.9
,"District of Columbia","11","2018","2018",125,702455,17.8,16.7
,"District of Columbia","11","2019","2019",140,705749,19.8,18.1
,"District of Columbia","11","2020","2020",166,712816,23.3,21.8
"Total","District of Columbia","11",,,2793,13636649,20.5,18.0
,"Florida","12","1999","1999",1709,15759421,10.8,10.6
,"Florida","12","2000","2000",1677,15982378,10.5,10.1
,"Florida","12","2001","2001",1807,16356966,11.0,10.6
,"Florida","12","2002","2002",1874,16689370,11.2,10.9
,"Florida","12","2003","2003",1932,17004085,11.4,11.0
,"Florida","12","2004","2004",1879,17415318,10.8,10.4
,"Florida","12","2005","2005",1824,17842038,10.2,9.9
,"Florida","12","2006","2006",2065,18166990,11.4,11.0
,"Florida","12","2007","2007",2251,18367842,12.3,11.9
,"Florida","12","2008","2008",2316,18527305,12.5,12.1
,"Florida","12","2009","2009",2306,18652644,12.4,11.9
,"Florida","12","2010","2010",2251,18801310,12.0,11.4
,"Florida","12","2011","2011",2355,19057542,12.4,11.9
,"Florida","12","2012","2012",2449,19317568,12.7,12.1
,"Florida","12","2013","2013",2415,19552860,12.4,11.8
,"Florida","12","2014","2014",2387,19893297,12.0,11.4
,"Florida","12","2015","2015",2543,20271272,12.5,11.9
,"Florida","12","2016","2016",2690,20612439,13.1,12.5
,"Florida","12","2017","2017",2706,20984400,12.9,12.3
,"Florida","12","2018","2018",2878,21299325,13.5,12.7
,"Florida","12","2019","2019",2844,21477737,13.2,12.6
,"Florida","12","2020","2020",2992,21733312,13.8,13.5
"Total","Florida","12",,,50150,413765419,12.1,11.7
,"Georgia","13","1999","1999",1099,8045965,13.7,13.6
,"Georgia","13","2000","2000",1090,8186453,13.3,13.4
,"Georgia","13","2001","2001",1115,8377038,13.3,13.4
,"Georgia","13","2002","2002",1118,8508256,13.1,13.3
,"Georgia","13","2003","2003",1167,8622793,13.5,13.7
,"Georgia","13","2004","2004",1055,8769252,12.0,12.1
,"Georgia","13","2005","2005",1054,8925922,11.8,12.0
,"Georgia","13","2006","2006",1124,9155813,12.3,12.3
,"Georgia","13","2007","2007",1234,9349988,13.2,13.3
,"Georgia","13","2008","2008",1167,9504843,12.3,12.4
,"Georgia","13","2009","2009",1237,9620846,12.9,13.0
,"Georgia","13","2010","2010",1216,9687653,12.6,12.6
,"Georgia","13","2011","2011",1218,9815210,12.4,12.4
,"Georgia","13","2012","2012",1273,9919945,12.8,12.7
,"Georgia","13","2013","2013",1248,9992167,12.5,12.5
,"Georgia","13","2014","2014",1381,10097343,13.7,13.6
,"Georgia","13","2015","2015",1429,10214860,14.0,13.9
,"Georgia","13","2016","2016",1557,10310371,15.1,14.9
,"Georgia","13","2017","2017",1603,10429379,15.4,15.3
,"Georgia","13","2018","2018",1655,10519475,15.7,15.5
,"Georgia","13","2019","2019",1682,10617423,15.8,15.7
,"Georgia","13","2020","2020",1874,10710017,17.5,17.5
"Total","Georgia","13",,,28596,209381012,13.7,13.6
,"Hawaii","15","1999","1999",42,1210300,3.5,3.4
,"Hawaii","15","2000","2000",51,1211537,4.2,4.1
,"Hawaii","15","2001","2001",44,1225948,3.6,3.5
,"Hawaii","15","2002","2002",36,1239613,2.9,2.8
,"Hawaii","15","2003","2003",36,1251154,2.9,2.8
,"Hawaii","15","2004","2004",39,1273569,3.1,2.9
,"Hawaii","15","2005","2005",28,1292729,2.2,2.1
,"Hawaii","15","2006","2006",32,1309731,2.4,2.3
,"Hawaii","15","2007","2007",36,1315675,2.7,2.5
,"Hawaii","15","2008","2008",40,1332213,3.0,2.9
,"Hawaii","15","2009","2009",46,1346717,3.4,3.4
,"Hawaii","15","2010","2010",45,1360301,3.3,3.2
,"Hawaii","15","2011","2011",45,1374810,3.3,3.2
,"Hawaii","15","2012","2012",49,1392313,3.5,3.2
,"Hawaii","15","2013","2013",36,1404054,2.6,2.5
,"Hawaii","15","2014","2014",39,1419561,2.7,2.6
,"Hawaii","15","2015","2015",53,1431603,3.7,3.4
,"Hawaii","15","2016","2016",62,1428557,4.3,4.2
,"Hawaii","15","2017","2017",36,1427538,2.5,2.3
,"Hawaii","15","2018","2018",53,1420491,3.7,3.6
,"Hawaii","15","2019","2019",56,1415872,4.0,4.0
,"Hawaii","15","2020","2020",49,1407006,3.5,3.3
"Total","Hawaii","15",,,953,29491292,3.2,3.1
,"Idaho","16","1999","1999",151,1275674,11.8,12.2
,"Idaho","16","2000","2000",125,1293953,9.7,10.0
,"Idaho","16","2001","2001",171,1319962,13.0,13.2
,"Idaho","16","2002","2002",161,1340372,12.0,12.3
,"Idaho","16","2003","2003",162,1363380,11.9,12.2
,"Idaho","16","2004","2004",174,1391802,12.5,12.7
,"Idaho","16","2005","2005",194,1428241,13.6,14.0
,"Idaho","16","2006","2006",177,1468669,12.1,12.5
,"Idaho","16","2007","2007",183,1505105,12.2,12.4
,"Idaho","16","2008","2008",169,1534320,11.0,11.1
,"Idaho","16","2009","2009",192,1554439,12.4,12.6
,"Idaho","16","2010","2010",198,1567582,12.6,12.8
,"Idaho","16","2011","2011",190,1584985,12.0,12.1
,"Idaho","16","2012","2012",203,1595728,12.7,12.8
,"Idaho","16","2013","2013",224,1612136,13.9,13.9
,"Idaho","16","2014","2014",209,1634464,12.8,12.9
,"Idaho","16","2015","2015",243,1654930,14.7,14.5
,"Idaho","16","2016","2016",236,1683140,14.0,14.2
,"Idaho","16","2017","2017",277,1716943,16.1,16.2
,"Idaho","16","2018","2018",287,1754208,16.4,16.2
,"Idaho","16","2019","2019",248,1787065,13.9,13.8
,"Idaho","16","2020","2020",312,1826913,17.1,17.1
"Total","Idaho","16",,,4486,33894011,13.2,13.4
,"Illinois","17","1999","1999",1204,12359020,9.7,9.6
,"Illinois","17","2000","2000",1126,12419293,9.1,9.0
,"Illinois","17","2001","2001",1280,12488445,10.2,10.2
,"Illinois","17","2002","2002",1225,12525556,9.8,9.7
,"Illinois","17","2003","2003",1138,12556006,9.1,9.0
,"Illinois","17","2004","2004",989,12589773,7.9,7.8
,"Illinois","17","2005","2005",1018,12609903,8.1,8.0
,"Illinois","17","2006","2006",1032,12643955,8.2,8.1
,"Illinois","17","2007","2007",1025,12695866,8.1,8.0
,"Illinois","17","2008","2008",1094,12747038,8.6,8.5
,"Illinois","17","2009","2009",1048,12796778,8.2,8.1
,"Illinois","17","2010","2010",1054,12830632,8.2,8.1
,"Illinois","17","2011","2011",1097,12869257,8.5,8.4
,"Illinois","17","2012","2012",1164,12875255,9.0,8.9
,"Illinois","17","2013","2013",1101,12882135,8.5,8.4
,"Illinois","17","2014","2014",1169,12880580,9.1,9.0
,"Illinois","17","2015","2015",1209,12859995,9.4,9.4
,"Illinois","17","2016","2016",1474,12801539,11.5,11.5
,"Illinois","17","2017","2017",1533,12802023,12.0,12.0
,"Illinois","17","2018","2018",1373,12741080,10.8,10.8
,"Illinois","17","2019","2019",1362,12671821,10.7,10.8
,"Illinois","17","2020","2020",1736,12587530,13.8,14.0
"Total","Illinois","17",,,26451,279233480,9.5,9.4
,"Indiana","18","1999","1999",672,6044969,11.1,11.1
,"Indiana","18","2000","2000",662,6080485,10.9,10.8
,"Indiana","18","2001","2001",726,6127760,11.8,11.8
,"Indiana","18","2002","2002",717,6155967,11.6,11.6
,"Indiana","18","2003","2003",687,6196638,11.1,11.1
,"Indiana","18","2004","2004",631,6233007,10.1,10.1
,"Indiana","18","2005","2005",695,6278616,11.1,11.0
,"Indiana","18","2006","2006",734,6332669,11.6,11.5
,"Indiana","18","2007","2007",665,6379599,10.4,10.5
,"Indiana","18","2008","2008",716,6424806,11.1,11.1
,"Indiana","18","2009","2009",731,6459325,11.3,11.3
,"Indiana","18","2010","2010",704,6483802,10.9,10.7
,"Indiana","18","2011","2011",628,6516922,9.6,9.5
,"Indiana","18","2012","2012",787,6537334,12.0,12.0
,"Indiana","18","2013","2013",842,6570902,12.8,12.7
,"Indiana","18","2014","2014",809,6596855,12.3,12.2
,"Indiana","18","2015","2015",834,6619680,12.6,12.5
,"Indiana","18","2016","2016",986,6633053,14.9,14.8
,"Indiana","18","2017","2017",1003,6666818,15.0,15.0
,"Indiana","18","2018","2018",968,6691878,14.5,14.6
,"Indiana","18","2019","2019",952,6732219,14.1,14.0
,"Indiana","18","2020","2020",1141,6754953,16.9,17.0
"Total","Indiana","18",,,17290,141518257,12.2,12.2
,"Iowa","19","1999","1999",198,2917634,6.8,6.6
,"Iowa","19","2000","2000",188,2926324,6.4,6.4
,"Iowa","19","2001","2001",188,2931997,6.4,6.3
,"Iowa","19","2002","2002",195,2934234,6.6,6.6
,"Iowa","19","2003","2003",206,2941999,7.0,6.9
,"Iowa","19","2004","2004",189,2953635,6.4,6.2
,"Iowa","19","2005","2005",198,2964454,6.7,6.6
,"Iowa","19","2006","2006",193,2982644,6.5,6.3
,"Iowa","19","2007","2007",154,2999212,5.1,4.9
,"Iowa","19","2008","2008",222,3016734,7.4,7.2
,"Iowa","19","2009","2009",191,3032870,6.3,6.2
,"Iowa","19","2010","2010",213,3046355,7.0,6.8
,"Iowa","19","2011","2011",219,3062309,7.2,7.1
,"Iowa","19","2012","2012",216,3074186,7.0,7.0
,"Iowa","19","2013","2013",251,3090416,8.1,8.0
,"Iowa","19","2014","2014",235,3107126,7.6,7.3
,"Iowa","19","2015","2015",244,3123899,7.8,7.7
,"Iowa","19","2016","2016",287,3134693,9.2,9.2
,"Iowa","19","2017","2017",291,3145711,9.3,8.9
,"Iowa","19","2018","2018",281,3156145,8.9,8.6
,"Iowa","19","2019","2019",290,3155070,9.2,9.0
,"Iowa","19","2020","2020",350,3163561,11.1,11.1
"Total","Iowa","19",,,4999,66861208,7.5,7.3
,"Kansas","20","1999","1999",268,2678338,10.0,10.0
,"Kansas","20","2000","2000",299,2688418,11.1,11.2
,"Kansas","20","2001","2001",265,2702162,9.8,9.8
,"Kansas","20","2002","2002",268,2713535,9.9,9.8
,"Kansas","20","2003","2003",298,2723004,10.9,10.9
,"Kansas","20","2004","2004",292,2734373,10.7,10.7
,"Kansas","20","2005","2005",255,2745299,9.3,9.3
,"Kansas","20","2006","2006",291,2762931,10.5,10.6
,"Kansas","20","2007","2007",288,2783785,10.3,10.2
,"Kansas","20","2008","2008",275,2808076,9.8,9.7
,"Kansas","20","2009","2009",300,2832704,10.6,10.7
,"Kansas","20","2010","2010",292,2853118,10.2,10.2
,"Kansas","20","2011","2011",323,2871238,11.2,11.2
,"Kansas","20","2012","2012",372,2885905,12.9,12.9
,"Kansas","20","2013","2013",328,2893957,11.3,11.3
,"Kansas","20","2014","2014",319,2904021,11.0,11.0
,"Kansas","20","2015","2015",325,2911641,11.2,11.2
,"Kansas","20","2016","2016",381,2907289,13.1,13.3
,"Kansas","20","2017","2017",463,2913123,15.9,15.9
,"Kansas","20","2018","2018",423,2911505,14.5,14.8
,"Kansas","20","2019","2019",397,2913314,13.6,13.5
,"Kansas","20","2020","2020",491,2913805,16.9,16.8
"Total","Kansas","20",,,7213,62051541,11.6,11.6
,"Kentucky","21","1999","1999",523,4018053,13.0,12.9
,"Kentucky","21","2000","2000",542,4041769,13.4,13.3
,"Kentucky","21","2001","2001",520,4068132,12.8,12.6
,"Kentucky","21","2002","2002",543,4089875,13.3,13.1
,"Kentucky","21","2003","2003",555,4117170,13.5,13.3
,"Kentucky","21","2004","2004",548,4146101,13.2,13.0
,"Kentucky","21","2005","2005",543,4182742,13.0,12.8
,"Kentucky","21","2006","2006",527,4219239,12.5,12.4
,"Kentucky","21","2007","2007",611,4256672,14.4,14.1
,"Kentucky","21","2008","2008",576,4289878,13.4,13.3
,"Kentucky","21","2009","2009",556,4317074,12.9,12.7
,"Kentucky","21","2010","2010",551,4339367,12.7,12.4
,"Kentucky","21","2011","2011",608,4369356,13.9,13.6
,"Kentucky","21","2012","2012",646,4380415,14.7,14.6
,"Kentucky","21","2013","2013",618,4395295,14.1,13.6
,"Kentucky","21","2014","2014",629,4413457,14.3,13.8
,"Kentucky","21","2015","2015",684,4425092,15.5,15.0
,"Kentucky","21","2016","2016",757,4436974,17.1,17.1
,"Kentucky","21","2017","2017",718,4454189,16.1,15.9
,"Kentucky","21","2018","2018",754,4468402,16.9,16.7
,"Kentucky","21","2019","2019",675,4467673,15.1,14.7
,"Kentucky","21","2020","2020",889,4477251,19.9,19.8
"Total","Kentucky","21",,,13573,94374176,14.4,14.2
,"Louisiana","22","1999","1999",774,4460811,17.4,17.4
,"Louisiana","22","2000","2000",787,4468976,17.6,17.5
,"Louisiana","22","2001","2001",779,4477875,17.4,17.4
,"Louisiana","22","2002","2002",869,4497267,19.3,19.2
,"Louisiana","22","2003","2003",841,4521042,18.6,18.6
,"Louisiana","22","2004","2004",899,4552238,19.7,19.6
,"Louisiana","22","2005","2005",850,4576628,18.6,18.3
,"Louisiana","22","2006","2006",828,4302665,19.2,19.1
,"Louisiana","22","2007","2007",866,4375581,19.8,19.8
,"Louisiana","22","2008","2008",822,4435586,18.5,18.4
,"Louisiana","22","2009","2009",807,4491648,18.0,18.0
,"Louisiana","22","2010","2010",863,4533372,19.0,19.2
,"Louisiana","22","2011","2011",863,4574836,18.9,18.9
,"Louisiana","22","2012","2012",842,4601893,18.3,18.5
,"Louisiana","22","2013","2013",880,4625470,19.0,19.1
,"Louisiana","22","2014","2014",891,4649676,19.2,18.9
,"Louisiana","22","2015","2015",948,4670724,20.3,20.3
,"Louisiana","22","2016","2016",985,4681666,21.0,21.3
,"Louisiana","22","2017","2017",997,4684333,21.3,21.5
,"Louisiana","22","2018","2018",987,4659978,21.2,21.3
,"Louisiana","22","2019","2019",1006,4648794,21.6,22.0
,"Louisiana","22","2020","2020",1177,4645318,25.3,26.1
"Total","Louisiana","22",,,19561,100136377,19.5,19.5
,"Maine","23","1999","1999",111,1266808,8.8,8.5
,"Maine","23","2000","2000",110,1274923,8.6,8.4
,"Maine","23","2001","2001",97,1285692,7.5,7.2
,"Maine","23","2002","2002",87,1295960,6.7,6.5
,"Maine","23","2003","2003",81,1306513,6.2,6.0
,"Maine","23","2004","2004",108,1313688,8.2,7.8
,"Maine","23","2005","2005",109,1318787,8.3,7.8
,"Maine","23","2006","2006",103,1323619,7.8,7.2
,"Maine","23","2007","2007",106,1327040,8.0,7.5
,"Maine","23","2008","2008",119,1330509,8.9,8.2
,"Maine","23","2009","2009",121,1329590,9.1,8.5
,"Maine","23","2010","2010",109,1328361,8.2,7.7
,"Maine","23","2011","2011",130,1328188,9.8,9.0
,"Maine","23","2012","2012",128,1329192,9.6,8.8
,"Maine","23","2013","2013",154,1328302,11.6,10.6
,"Maine","23","2014","2014",127,1330089,9.5,9.1
,"Maine","23","2015","2015",142,1329328,10.7,9.7
,"Maine","23","2016","2016",122,1331479,9.2,8.2
,"Maine","23","2017","2017",165,1335907,12.4,11.1
,"Maine","23","2018","2018",157,1338404,11.7,10.2
,"Maine","23","2019","2019",160,1344212,11.9,11.2
,"Maine","23","2020","2020",150,1350141,11.1,10.2
"Total","Maine","23",,,2696,29046732,9.3,8.6
,"Maryland","24","1999","1999",643,5254509,12.2,12.4
,"Maryland","24","2000","2000",604,5296486,11.4,11.6
,"Maryland","24","2001","2001",598,5374691,11.1,11.3
,"Maryland","24","2002","2002",607,5440389,11.2,11.3
,"Maryland","24","2003","2003",640,5496269,11.6,11.8
,"Maryland","24","2004","2004",648,5546935,11.7,11.8
,"Maryland","24","2005","2005",647,5592379,11.6,11.7
,"Maryland","24","2006","2006",660,5627367,11.7,11.7
,"Maryland","24","2007","2007",663,5653408,11.7,11.8
,"Maryland","24","2008","2008",645,5684965,11.3,11.3
,"Maryland","24","2009","2009",572,5730388,10.0,9.9
,"Maryland","24","2010","2010",532,5773552,9.2,9.2
,"Maryland","24","2011","2011",522,5828289,9.0,8.9
,"Maryland","24","2012","2012",571,5884563,9.7,9.6
,"Maryland","24","2013","2013",564,5928814,9.5,9.4
,"Maryland","24","2014","2014",529,5976407,8.9,8.7
,"Maryland","24","2015","2015",696,6006401,11.6,11.7
